Position,Oral,Written,Race,Combine,target
1.0,0.5230816,0.5240174,1.0,0.5265855,1
1.0,0.5179953,0.52946514,1.0,0.5274822,1
1.0,0.51611185,0.5302117,1.0,0.5341398,1
1.0,0.5177301,0.52705604,1.0,0.52574813,1
1.0,0.5165535,0.5243251,1.0,0.52790755,1
1.0,0.52058274,0.52963865,1.0,0.529653,1
1.0,0.5131637,0.5287014,1.0,0.530004,1
1.0,0.5127468,0.53081626,1.0,0.5323396,1
1.0,0.5150289,0.5275302,1.0,0.52976257,1
1.0,0.5219478,0.5299059,1.0,0.53062505,1
1.0,0.51714665,0.5319426,1.0,0.5276521,1
1.0,0.5148528,0.53013223,1.0,0.52898455,1
1.0,0.5143995,0.52630085,1.0,0.53199923,0
1.0,0.5193995,0.5284274,1.0,0.5300954,0
1.0,0.5197421,0.5293834,1.0,0.52789295,0
1.0,0.51824313,0.53281564,1.0,0.5299966,0
1.0,0.5180234,0.5309699,1.0,0.52800643,0
1.0,0.51701605,0.52810186,1.0,0.52853215,0
1.0,0.5146858,0.52974194,1.0,0.5294004,0
1.0,0.52055955,0.5301745,1.0,0.53155816,0
1.0,0.5114429,0.5302033,1.0,0.5318524,0
1.0,0.5167326,0.52905387,1.0,0.5286192,0
1.0,0.5219474,0.52670753,1.0,0.5280532,0
1.0,0.5119889,0.5298328,1.0,0.5320836,0
1.0,0.53276235,0.5384137,1.0,0.53870875,1
1.0,0.5272062,0.5363435,1.0,0.5367431,1
1.0,0.52653295,0.5329533,1.0,0.5358707,1
1.0,0.5282665,0.5381569,1.0,0.53754973,1
1.0,0.5273979,0.53455687,1.0,0.536034,1
1.0,0.5265165,0.5375154,1.0,0.5346272,1
1.0,0.52842104,0.53792584,1.0,0.53429395,1
1.0,0.5304018,0.5407033,1.0,0.5386015,1
1.0,0.52748483,0.53528905,1.0,0.5360849,1
1.0,0.5302961,0.54387414,1.0,0.5359713,1
1.0,0.5297474,0.5386843,1.0,0.5380298,0
1.0,0.52748626,0.5363183,1.0,0.53726494,0
1.0,0.5293297,0.5390141,1.0,0.5388916,0
1.0,0.5268395,0.5353641,1.0,0.5369122,0
1.0,0.5278481,0.53372866,1.0,0.53801537,0
1.0,0.5318459,0.5399614,1.0,0.54018444,0
1.0,0.5257763,0.53447556,1.0,0.5374895,0
1.0,0.52789044,0.53665113,1.0,0.53665334,1
1.0,0.5276763,0.5376669,1.0,0.53626645,0
1.0,0.5286428,0.5368198,1.0,0.53603476,0
1.0,0.5278361,0.5378583,1.0,0.5384359,0
1.0,0.52863294,0.53865534,1.0,0.5332614,0
1.0,0.5274693,0.5367246,1.0,0.5354979,0
1.0,0.5247179,0.5310997,1.0,0.53743917,0
0.0,0.5263288,0.5289276,1.0,0.52102685,1
0.0,0.52591664,0.52896225,1.0,0.5212054,1
0.0,0.5268416,0.5287906,1.0,0.5218349,1
0.0,0.52875745,0.5273375,1.0,0.521644,1
0.0,0.5290501,0.5295978,1.0,0.52325255,1
0.0,0.52557796,0.52717865,1.0,0.5208713,1
0.0,0.5295875,0.5296829,1.0,0.52425927,1
0.0,0.5265152,0.52759564,1.0,0.52116555,1
0.0,0.52717566,0.5287515,1.0,0.5222826,1
0.0,0.5261172,0.52800244,1.0,0.5207717,1
0.0,0.5270826,0.5271134,1.0,0.52182543,1
0.0,0.5257345,0.52807975,1.0,0.5205235,0
0.0,0.5260822,0.52756786,1.0,0.5214528,0
0.0,0.5257926,0.52758294,1.0,0.5205006,0
0.0,0.5261356,0.5279683,1.0,0.5208781,0
0.0,0.52969915,0.52823454,1.0,0.5222496,0
0.0,0.52759117,0.52836335,1.0,0.5218311,0
0.0,0.52703047,0.5268619,1.0,0.5216111,0
0.0,0.5286822,0.5291428,1.0,0.5226914,0
0.0,0.5277713,0.52934694,1.0,0.52320385,0
0.0,0.5282698,0.5298919,1.0,0.5232726,0
0.0,0.5270091,0.52811563,1.0,0.52115524,0
0.0,0.52778316,0.52741957,1.0,0.52102035,0
0.0,0.52545935,0.52714777,1.0,0.52046627,0
1.0,0.53397495,0.54288554,1.0,0.54543954,1
1.0,0.53310406,0.54368985,1.0,0.54710567,1
1.0,0.536429,0.5418063,1.0,0.54649574,1
1.0,0.53738296,0.543443,1.0,0.54612756,1
1.0,0.53350383,0.5426731,1.0,0.54763645,1
1.0,0.5334627,0.54228944,1.0,0.5475482,1
1.0,0.53790224,0.5415534,1.0,0.545071,1
1.0,0.5357709,0.5425693,1.0,0.5453717,1
1.0,0.53476286,0.54404956,1.0,0.5477563,1
1.0,0.53435206,0.54272574,1.0,0.5472214,1
1.0,0.5402031,0.54280764,1.0,0.54722923,1
1.0,0.53657895,0.5423416,1.0,0.54516816,0
1.0,0.5362226,0.54368687,1.0,0.54620594,0
1.0,0.5331071,0.5438793,1.0,0.5474216,0
1.0,0.53282267,0.5429474,1.0,0.5471928,0
1.0,0.53709954,0.54171133,1.0,0.5450835,0
1.0,0.53318304,0.5453071,1.0,0.5477616,0
1.0,0.5330995,0.5433825,1.0,0.54864496,0
1.0,0.53685445,0.5428098,1.0,0.54432654,0
1.0,0.53629655,0.54260296,1.0,0.5462317,0
1.0,0.53467286,0.5420913,1.0,0.54573274,0
1.0,0.53402096,0.5433219,1.0,0.5481332,0
1.0,0.53581756,0.54256135,1.0,0.5465513,0
1.0,0.5168645,0.5285684,1.0,0.53481025,1
0.0,0.5175665,0.52613044,1.0,0.5330179,1
0.0,0.52276796,0.52529216,1.0,0.5317964,1
