sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,v_decile_score,start,end,event,score_text_High,score_text_Low,score_text_Medium,v_score_text_High,v_score_text_Low,v_score_text_Medium,target
1.0,0.23941092,0.0,0.0027366295,0.23271564,0.004653244,0.008794217,0.084419034,0.003164834,0.0,1.0,0.0,0.2989064,0.011362233,0.4523028,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23944843,0.0,0.002773076,0.23292623,0.0047857165,0.008991825,0.08485442,0.003170241,0.0,1.0,0.0,0.2990163,0.011393745,0.4522003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23938397,0.0,0.0027789858,0.23271582,0.0048308126,0.0088369865,0.08458918,0.0031461003,0.0,1.0,0.0,0.29885823,0.0113345375,0.45223376,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.2395557,0.0,0.0028061033,0.23314214,0.0047812834,0.008876673,0.08489323,0.003200464,0.0,1.0,0.0,0.29915902,0.01144872,0.4521738,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23981826,0.0,0.0028295685,0.23333207,0.0048328787,0.009034275,0.08535808,0.0032282765,0.0,1.0,0.0,0.29955083,0.011631091,0.45222613,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23954827,0.0,0.0027954357,0.2328476,0.0048290454,0.008835818,0.084753916,0.0031689662,0.0,1.0,0.0,0.29909268,0.011442213,0.45229325,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23967633,0.0,0.0027683806,0.23305693,0.004722534,0.009054949,0.08505482,0.0032085627,0.0,1.0,0.0,0.2992875,0.01152477,0.45208314,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23946378,0.0,0.0027807397,0.23287793,0.004785424,0.008871422,0.08471514,0.0031693308,0.0,1.0,0.0,0.29900193,0.011392768,0.45223638,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23978487,0.0,0.0028236704,0.23330173,0.0048218216,0.009025459,0.08530243,0.0032249328,0.0,1.0,0.0,0.29949716,0.01160657,0.45220217,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23956522,0.0,0.0027354301,0.23271441,0.0046976097,0.008971992,0.084728196,0.0031719774,0.0,1.0,0.0,0.29909152,0.011456791,0.45221666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23938154,0.0,0.0027951421,0.23288581,0.004785306,0.008711014,0.08450609,0.0031639636,0.0,1.0,0.0,0.2989006,0.011340411,0.45232573,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23964214,0.0,0.0027934893,0.23294616,0.0048032706,0.008904707,0.0849023,0.003188028,0.0,1.0,0.0,0.29921928,0.011499094,0.45221835,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23921248,0.0,0.00275709,0.23259106,0.0047300775,0.008626291,0.08413456,0.0031312793,0.0,1.0,0.0,0.298639,0.011236255,0.45240772,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23951772,0.0,0.0027865625,0.23284867,0.004822634,0.008901383,0.08481034,0.0031632804,0.0,1.0,0.0,0.29909885,0.011442695,0.4523743,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23966971,0.0,0.0027906348,0.23301248,0.004788055,0.008962758,0.08499854,0.003196443,0.0,1.0,0.0,0.29927725,0.011522277,0.45220074,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23967826,0.0,0.0027626546,0.23294838,0.0047334097,0.009042099,0.08500358,0.0031978367,0.0,1.0,0.0,0.2992695,0.011525819,0.4521285,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.2395275,0.0,0.002795207,0.23299329,0.0047959997,0.008879274,0.0848235,0.0031834173,0.0,1.0,0.0,0.29909867,0.011431485,0.45221394,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23954335,0.0,0.0027610548,0.2329349,0.0047408016,0.009028813,0.08492924,0.003179286,0.0,1.0,0.0,0.2991679,0.011470208,0.45231593,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23985861,0.0,0.0028043413,0.23321782,0.004796355,0.009094259,0.08534706,0.0032283282,0.0,1.0,0.0,0.29954526,0.0116420705,0.45210716,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.239839,0.0,0.0028449409,0.23360658,0.0047980743,0.009050132,0.08548652,0.003257194,0.0,1.0,0.0,0.29963833,0.011650084,0.45217106,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23942347,0.0,0.0027556221,0.23280072,0.0047108177,0.008840391,0.08455399,0.003169079,0.0,1.0,0.0,0.29891986,0.011360659,0.4521928,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23944491,0.0,0.002751856,0.23276295,0.0047288043,0.008899099,0.0846261,0.0031648688,0.0,1.0,0.0,0.29894564,0.011376661,0.45219052,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23962969,0.0,0.002762094,0.23283705,0.0047737793,0.009040583,0.08496711,0.0031768207,0.0,1.0,0.0,0.29922232,0.011509294,0.4522637,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23950283,0.0,0.0027983962,0.23324345,0.004725305,0.008881558,0.08486661,0.0032104265,0.0,1.0,0.0,0.2991238,0.011421187,0.4521444,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23983905,0.0,0.0028081855,0.23344243,0.0047502285,0.009136048,0.08544899,0.0032490476,0.0,1.0,0.0,0.29959303,0.0116441175,0.45209286,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23933084,0.0,0.002780925,0.23285873,0.00473376,0.008675707,0.08438031,0.0031638173,0.0,1.0,0.0,0.29882672,0.0113067,0.45231056,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23959135,0.0,0.0027895535,0.23295464,0.004767983,0.008842719,0.0847827,0.00318866,0.0,1.0,0.0,0.29915813,0.011467429,0.45223796,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23975047,0.0,0.0027819446,0.23308925,0.0047175726,0.00895232,0.084993444,0.0032225102,0.0,1.0,0.0,0.2993328,0.011548708,0.45200947,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23966902,0.0,0.0028006022,0.23324467,0.004749377,0.008974196,0.08508952,0.0032191596,0.0,1.0,0.0,0.29934034,0.011532036,0.45218563,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23971908,0.0,0.0028027869,0.23321502,0.0047516064,0.008944124,0.08507141,0.0032223861,0.0,1.0,0.0,0.29937178,0.01155284,0.4521567,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23953813,0.0,0.0027632788,0.23282549,0.0047215275,0.008847622,0.08466103,0.003176721,0.0,1.0,0.0,0.299083,0.011441157,0.45229146,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23963685,0.0,0.0028413204,0.2332538,0.0048929807,0.008951862,0.08518085,0.0032001722,0.0,1.0,0.0,0.29932734,0.011519958,0.45229664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23943181,0.0,0.0028194338,0.23320054,0.004824067,0.008877986,0.08489,0.0031888376,0.0,1.0,0.0,0.29905093,0.011384376,0.45222327,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23944119,0.0,0.002767526,0.23281693,0.0047633513,0.008883275,0.08467741,0.0031615458,0.0,1.0,0.0,0.29899326,0.011392849,0.45233667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23980114,0.0,0.002855023,0.23365332,0.0048116017,0.009018353,0.085453786,0.0032599121,0.0,1.0,0.0,0.29957342,0.011612786,0.45207548,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.2395968,0.0,0.0027839614,0.23289874,0.0047983313,0.00893057,0.084870964,0.0031816547,0.0,1.0,0.0,0.29914886,0.011467516,0.45217088,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23965494,0.0,0.0027674746,0.2330273,0.0047268597,0.009042317,0.08502364,0.0032026356,0.0,1.0,0.0,0.29926777,0.01151662,0.4521354,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23948754,0.0,0.002787929,0.23293458,0.0047839303,0.008854453,0.084741496,0.0031752202,0.0,1.0,0.0,0.2990514,0.011412334,0.4522768,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23952381,0.0,0.0027897074,0.23308842,0.004730208,0.008843848,0.08476971,0.0031994632,0.0,1.0,0.0,0.2991015,0.011425807,0.452166,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23959804,0.0,0.0027967999,0.23319271,0.0047644363,0.008984766,0.0850419,0.0032081876,0.0,1.0,0.0,0.29923883,0.011484167,0.45214868,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23926386,0.0,0.00275824,0.23257233,0.0047577457,0.008685021,0.0842314,0.0031332048,0.0,1.0,0.0,0.29867226,0.011255779,0.45229962,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23968579,0.0,0.002826786,0.23335284,0.004819266,0.009007178,0.08525257,0.003219574,0.0,1.0,0.0,0.2994132,0.011556003,0.4522558,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23929986,0.0,0.002763799,0.232646,0.0047726054,0.0087474715,0.08438112,0.0031357955,0.0,1.0,0.0,0.29878122,0.011300913,0.45241854,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23966911,0.0,0.0027944099,0.23305549,0.0047773873,0.008935269,0.08497657,0.0032026984,0.0,1.0,0.0,0.2992707,0.011515783,0.45216063,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23953788,0.0,0.0027785047,0.23291992,0.004788032,0.0089616515,0.0848708,0.0031787101,0.0,1.0,0.0,0.29909688,0.01143769,0.45216885,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23935632,0.0,0.0027478416,0.23272291,0.0047070454,0.008818888,0.08446379,0.0031544052,0.0,1.0,0.0,0.2988559,0.011333518,0.45231837,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.2397374,0.0,0.0028281852,0.23347424,0.004778278,0.009009805,0.08529328,0.003242918,0.0,1.0,0.0,0.29945722,0.011570474,0.45208773,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23930681,0.0,0.0027476079,0.23269866,0.0046953005,0.008751934,0.08432736,0.0031545537,0.0,1.0,0.0,0.2987429,0.011281184,0.45219362,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.2393385,0.0,0.0027604129,0.23281828,0.0047087343,0.008778819,0.084452435,0.003162586,0.0,1.0,0.0,0.2988388,0.0113164,0.4522705,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23963052,0.0,0.0027962108,0.23307638,0.004784427,0.00894543,0.08499021,0.0031975007,0.0,1.0,0.0,0.29926202,0.011506994,0.4522505,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23955667,0.0,0.0027867416,0.23311473,0.0047797845,0.009045244,0.08506701,0.0031926061,0.0,1.0,0.0,0.299214,0.011475995,0.45224756,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23947684,0.0,0.0027583253,0.23277925,0.0047406256,0.008889491,0.08465481,0.0031672737,0.0,1.0,0.0,0.29898897,0.011397135,0.45221287,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.23952895,0.0,0.0027763126,0.23293412,0.0047484892,0.008886869,0.08476013,0.0031845449,0.0,1.0,0.0,0.29907614,0.011427347,0.45217243,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23966883,0.0,0.0028117048,0.23311302,0.004808874,0.008899936,0.08499938,0.0032030863,0.0,1.0,0.0,0.2992949,0.011521381,0.4522248,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.23929498,0.0,0.0027416078,0.23257126,0.0047061117,0.008721965,0.08424908,0.0031393422,0.0,1.0,0.0,0.2987244,0.011282647,0.4523223,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
