decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,gender,tier,race,fam_inc_1.0,fam_inc_2.0,fam_inc_3.0,fam_inc_4.0,fam_inc_5.0,target
7.8884986249171325,1.2080003075411003,0.8918918918918919,0.8,4.8886598718128935,0.7961722488038278,0.0,1.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,1.0,1
0.7943051951965021,0.2088059168086182,0.4864864864864864,0.7529380728861512,0.4873690671330006,0.6576568480762988,0.0,0.0,0.4306436412223049,1.0,0.0,0.0,0.0,0.0,0.0,1
0.7777777777777777,3.001039327993876,0.785441764551432,0.76,0.5827232796486091,0.6516746411483254,0.0,1.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,1
3.0211108507387854,0.6234678739275381,0.7398920873121939,0.72,0.4034711249706459,0.6488038277511962,0.0,1.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,1
0.3509961787021938,0.6983549308918953,0.7388515495478705,0.6692500532473675,0.4923835117689288,0.6685247814812916,0.0,1.0,0.5440065970366453,1.0,0.0,0.0,0.0,0.0,0.0,1
0.3509961787021938,0.6983549308918953,0.7388515495478705,0.6692500532473675,0.4923835117689288,0.6685247814812916,0.0,1.0,0.5440065970366453,1.0,0.0,0.0,0.0,0.0,0.0,0
0.3509961787021938,0.6983549308918953,0.7388515495478705,0.6692500532473675,0.4923835117689288,0.6685247814812916,0.0,1.0,0.5440065970366453,1.0,0.0,0.0,0.0,0.0,0.0,0
0.3509961787021938,0.6983549308918953,0.7388515495478705,0.6692500532473675,0.4923835117689288,0.6685247814812916,0.0,1.0,0.5440065970366453,1.0,0.0,0.0,0.0,0.0,0.0,0
0.4444444444444445,0.7464286864160705,0.7395321832341335,0.6749375348552243,0.4831625183016106,0.6055968599264894,0.0,1.0,0.5568371782073147,1.0,0.0,0.0,0.0,1.0,0.0,0
0.7777777777777777,0.6940383638651895,0.7509434319484027,0.5599999999999998,0.5973645680819912,0.7062200956937799,0.0,1.0,0.6000000000000001,1.0,0.0,0.0,0.0,1.0,0.0,1
0.2222222222222222,0.5765593255940509,0.7373835851509243,0.6578030611981518,0.404099560761347,0.6365411253258386,0.0,1.0,0.5436359840128099,1.0,0.0,0.0,0.0,0.0,0.0,1
0.3509961787021938,0.6983549308918953,0.7388515495478705,0.6692500532473675,0.4923835117689288,0.6685247814812916,0.0,1.0,0.5440065970366453,1.0,0.0,0.0,0.0,0.0,0.0,1
0.8888888888888888,-6.172113998197314,0.3661062405437999,0.3599999999999999,0.6427525622254759,0.7205741626794259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.6666666666666665,-6.321875869632246,0.3124116401832968,0.5199999999999998,0.5724743777452417,0.6995215311004785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
